Time;cogumelo;Anotação
14:06:33.664 ;29861;0
14:06:36.382 ;27939;0
14:06:39.155 ;30343;0
14:06:41.877 ;30339;0
14:06:44.649 ;30588;0
14:06:47.386 ;29621;0
14:06:50.124 ;27670;0
14:06:52.882 ;28728;0
14:06:55.648 ;27446;0
14:06:58.387 ;28110;0
14:07:01.136 ;27790;0
14:07:03.874 ;31913;0
14:07:06.603 ;30708;0
14:07:09.378 ;28477;0
14:07:12.119 ;27538;0
14:07:14.846 ;28050;0
14:07:17.624 ;28745;0
14:07:20.348 ;30810;0
14:07:23.087 ;29664;0
14:07:25.845 ;29784;0
14:07:28.606 ;29284;0
14:07:31.329 ;29850;0
14:07:34.095 ;28686;0
14:07:36.856 ;26982;0
14:07:39.598 ;31576;0
14:07:42.339 ;33496;0
14:07:45.081 ;31116;0
14:07:47.806 ;28909;0
14:07:50.569 ;28415;0
14:07:53.331 ;27836;0
14:07:56.070 ;25066;0
14:07:58.817 ;26402;0
14:08:01.554 ;28474;0
14:08:04.292 ;27382;0
14:08:07.057 ;29658;0
14:08:09.799 ;31198;0
14:08:12.540 ;28840;0
14:08:15.293 ;30165;0
14:08:18.049 ;30668;0
14:08:20.779 ;27459;0
14:08:23.541 ;29206;0
14:08:26.278 ;29348;0
14:08:29.036 ;30926;0
14:08:31.764 ;28624;0
14:08:34.507 ;28374;0
14:08:37.270 ;29280;0
14:08:40.007 ;31707;0
14:08:42.748 ;28698;0
14:08:45.523 ;29123;0
14:08:48.258 ;27532;0
14:08:51.021 ;29898;0
14:08:53.758 ;29628;0
14:08:56.484 ;27781;0
14:08:59.236 ;27924;0
14:09:02.001 ;28610;0
14:09:04.745 ;30221;0
14:09:07.503 ;27731;0
14:09:10.251 ;30142;0
14:09:12.992 ;30471;0
14:09:15.751 ;27715;0
14:09:18.502 ;28538;0
14:09:21.227 ;29076;0
14:09:23.979 ;27671;0
14:09:26.734 ;27417;0
14:09:29.469 ;27554;0
14:09:32.232 ;25451;0
14:09:34.957 ;24640;0
14:09:37.708 ;26400;0
14:09:40.442 ;28215;0
14:09:43.219 ;27829;0
14:09:45.958 ;28784;0
14:09:48.681 ;26590;0
14:09:51.435 ;25336;0
14:09:54.212 ;27897;0
14:09:56.927 ;28686;0
14:09:59.711 ;26102;0
14:10:02.445 ;23391;0
14:10:05.180 ;23776;0
14:10:07.924 ;22444;0
14:10:10.680 ;24129;0
14:10:13.409 ;28053;0
14:10:16.174 ;27566;0
14:10:18.943 ;24810;0
14:10:21.679 ;24891;0
14:10:24.401 ;25605;0
14:10:27.147 ;22835;0
